,fips,NatWalkInd,TotPop,ResidentialDensity,PopulationDensity,EmploymentDensity,PctLowWage,County,State
1632,36049,4.166666667,26719,0.0265008015,0.0415302665,0.0069513135,0.2479883683181818,Lewis,NY
1633,36051,6.0,63907,0.073480723,0.184485872,0.0520762,0.2371654807111111,Livingston,NY
1634,36053,5.666666667,71359,0.114623985,0.219368801,0.045684344,0.2295302194893617,Madison,NY
1635,36055,12.16666667,744248,2.591709517,5.86777342,0.80649029,0.2638454572151067,Monroe,NY
1636,36057,5.75,49426,0.190212157,0.366308835,0.1007144325,0.23600157454761903,Montgomery,NY
1637,36059,14.33333333,1356564,4.196430376,12.26624421,1.945182362,0.19347855736220473,Nassau,NY
1638,36061,13.16666667,1632480,87.51644248,163.1334468,47.290091675,0.1622008068965812,New York,NY
1639,36063,10.0,211704,1.771620479,3.7415377574999997,0.5750023145000001,0.2516844262159091,Niagara,NY
1640,36065,10.66666667,230782,1.001805543,2.352558021,0.458258185,0.2572379553475936,Oneida,NY
1641,36067,12.416666665000001,464242,2.1202930550000003,4.689770314,0.5969242775000001,0.2583312186736842,Onondaga,NY
1642,36069,6.166666667,109472,0.287258519,0.7451059415,0.1929612585,0.2462041273902439,Ontario,NY
1643,36071,7.5,378227,0.8526971225,2.07701065,0.33304063949999996,0.23237254342391306,Orange,NY
1644,36073,5.166666667,41175,0.069839298,0.142582475,0.034986435,0.22189683651612904,Orleans,NY
1645,36075,5.75,119104,0.1486316935,0.3195568765,0.0460090315,0.23747126663414633,Oswego,NY
1646,36077,5.166666667,60244,0.050229438,0.086324709,0.021619024,0.21903752132142856,Otsego,NY
1647,36079,6.833333333,99070,0.56991177,1.415187023,0.165928119,0.20381607663768114,Putnam,NY
1648,36081,14.5,2298513,16.7632984,47.67344575,4.966852086,0.2074072470315006,Queens,NY
1649,36083,10.83333333,159431,1.299927756,2.854767158,0.411557427,0.224618143512,Rensselaer,NY
1650,36085,14.33333333,474101,7.93557123,20.781810065000002,2.125764955,0.1882871008550296,Richmond,NY
1651,36087,8.166666667,323686,1.783188558,5.4003929,1.194761894,0.22820806336945815,Rockland,NY
1652,36089,5.5,109558,0.063763452,0.156292063,0.034878466,0.2542915262616822,St. Lawrence,NY
1653,36091,6.833333333,227377,0.759910895,1.501232364,0.256244835,0.22016773486330934,Saratoga,NY
1654,36093,12.16666667,154883,3.026765437,7.1755075045000005,0.75028507,0.239147897,Schenectady,NY
1655,36095,4.333333333,31364,0.044624701,0.098181795,0.010634911,0.24820200042424242,Schoharie,NY
1656,36097,4.333333333,17992,0.057292622,0.106149499,0.012547208,0.23417797963157894,Schuyler,NY
1657,36099,5.666666667,34612,0.125237315,0.221236723,0.042913774,0.25156929905405406,Seneca,NY
1658,36101,5.333333333500001,96927,0.08391586449999999,0.1792883635,0.039824951,0.2454146521195652,Steuben,NY
1659,36103,8.166666667,1487901,1.908634687,5.230355877,0.765235759,0.2110185351871872,Suffolk,NY
1660,36105,5.333333333,75211,0.1125430855,0.1653726905,0.029004126499999998,0.23109642428205127,Sullivan,NY
1661,36107,5.0,49045,0.087552727,0.19719221,0.021501273,0.2303462005777778,Tioga,NY
1662,36109,6.25,102962,0.3015517935,0.765431951,0.17633960599999998,0.222456548390625,Tompkins,NY
1663,36111,5.916666666499999,179303,0.2177987275,0.48830919149999996,0.08945092299999999,0.2373274690592105,Ulster,NY
